Treatments,Time,G,GG,GGG,GGGG
0.1,0,0.1,0,0,0
0.1,1,0.0793429,0.00999839,0.000826617,0.000198504
0.1,2,0.0801059,0.0104979,0.00122471,0.000275726
0.1,3,0.0818992,0.010989,0.00140392,0.000317656
0.1,4,0.0839474,0.0115747,0.00153136,0.0003526
0.075,0,0.075,0,0,0
0.075,1,0.0623612,0.00618943,0.000400357,7.52E-05
0.075,2,0.0626848,0.00645273,0.000604278,0.000105515
0.075,3,0.0635874,0.00667795,0.000688367,0.000118277
0.075,4,0.0646808,0.00690496,0.000738831,0.000128974
0.06,0,0.06,0,0,0
0.06,1,0.0514402,0.00421809,0.000223971,3.46E-05
0.06,2,0.051584,0.00438322,0.00034284,4.90E-05
0.06,3,0.0521274,0.00448956,0.000389839,5.48E-05
0.06,4,0.0527634,0.00460376,0.000414667,5.86E-05
0.05,0,0.05,0,0,0
0.05,1,0.0438113,0.0030609,0.000137915,1.81E-05
0.05,2,0.0438714,0.0031765,0.000213421,2.58E-05
0.05,3,0.0442134,0.00323865,0.000242556,2.86E-05
0.05,4,0.0446224,0.00329986,0.000256671,3.04E-05
0.03,0,0.03,0,0,0
0.03,1,0.0275673,0.00121047,3.40E-05,2.79E-06
0.03,2,0.0275474,0.00125621,5.41E-05,4.07E-06
0.03,3,0.0276387,0.00126811,6.16E-05,4.49E-06
0.03,4,0.0277487,0.0012786,6.47E-05,4.74E-06
0.025,0,0.025,0,0,0
0.025,1,0.0232689,0.000862422,2.04E-05,1.40E-06
0.025,2,0.0232454,0.000895599,3.27E-05,2.07E-06
0.025,3,0.0233006,0.00090252,3.73E-05,2.28E-06
0.025,4,0.0233679,0.000908219,3.91E-05,2.37E-06
0.01,0,0.01,0,0,0
0.01,1,0.00970142,0.000149151,1.46E-06,4.16E-08
0.01,2,0.00969062,0.000156082,2.40E-06,6.20E-08
0.01,3,0.00969363,0.000157072,2.76E-06,5.84E-08
0.01,4,0.00970041,0.000156491,2.89E-06,7.50E-08
