Treatments,Time,G,A,GG,AA,GA/AG,GGA/AGG/GAG,GGG,GGGG,AAG/AGA,AAA
0-100,0,0,0.1,0,0,0,0,0,0,0,0
0-100,1,0,0.0488687,0,0.0228433,0,0,0,0,0,0.00181494
0-100,2,0,0.0314389,0,0.0285079,0,0,0,0,0,0.00384845
0-100,3,0,0.0227521,0,0.0304746,0,0,0,0,0,0.00543292
0-100,4,0,0.0175228,0,0.0312404,0,0,0,0,0,0.00666549
90-10,0,0.01,0.09,0,0,0,0,0,0,0,0
90-10,1,0.00593264,0.0446169,0.000309457,1.86E-02,0.00244878,9.91E-05,5.34E-06,2.91E-07,7.84E-04,1.35E-03
90-10,2,0.00408734,0.0286881,0.000396369,2.31E-02,0.00295275,0.000217771,1.22E-05,1.16E-06,1.69E-03,2.86E-03
90-10,3,0.0030264,0.0206574,0.000423491,2.46E-02,0.00304952,0.000310815,1.77E-05,2.27E-06,2.39E-03,4.02E-03
90-10,4,0.00234232,0.0159041,0.000428657,2.50E-02,0.00302136,0.000382392,2.20E-05,3.45E-06,2.93E-03,4.92E-03
75-25,0,0.025,0.075,0,0,0,0,0,0,0,0
75-25,1,0.0138243,0.0381402,0.00179206,0.0131355,0.00499395,0.000493481,7.46E-05,1.01E-05,0.00134632,8.03E-04
75-25,2,0.00913895,0.0246243,0.00217707,0.0162682,0.00591359,0.0010518,0.000158831,3.72E-05,0.00286436,1.72E-03
75-25,3,0.00660327,0.0177625,0.00223637,0.0172248,0.00602804,0.00147103,0.00022051,6.92E-05,0.00401571,2.42E-03
75-25,4,0.0050336,0.0136584,0.00219691,0.0174918,0.00592721,0.00178223,0.000264791,0.000100818,0.00488326,2.96E-03
50-50,0,0.05,0.05,0,0,0,0,0,0,0,0
50-50,1,0.0250126,0.0269208,0.00636396,0.0060772,0.00652782,0.00124163,0.000504987,1.34E-04,0.00119638,0.000254193
50-50,2,0.0157383,0.0177911,0.00712597,0.00763054,0.00765096,0.00255668,0.000977428,4.45E-04,0.00253365,0.000557636
50-50,3,0.0110658,0.0130123,0.00687574,0.00812869,0.00775488,0.00349779,0.00127609,7.66E-04,0.00354109,0.000798477
50-50,4,0.00829815,0.0101032,0.00642316,0.00828275,0.00760517,0.00417194,0.00146589,1.05E-03,0.00429683,0.000986824
25-75,0,0.075,0.025,0,0,0,0,0,0,0,0
25-75,1,0.034569,0.014521,0.0128397,0.00161176,0.00489796,1.34E-03,1.47E-03,5.80E-04,0.000457162,3.46E-05
25-75,2,0.0211027,0.0100659,0.0133782,0.00209734,0.00580966,2.72E-03,2.63E-03,1.75E-03,0.000986834,7.99E-05
25-75,3,0.0146307,0.00762592,0.0122269,0.00228816,0.0059568,3.69E-03,3.28E-03,2.84E-03,0.00139988,0.000118424
25-75,4,0.010897,0.00609346,0.0109426,0.00237115,0.0058975,4.38E-03,3.65E-03,3.73E-03,0.00171975,0.0001502
Oct-90,0,0.09,0.01,0,0,0,0,0,0,0,0
Oct-90,1,0.0397991,0.00614061,0.0174095,0.000269892,0.0023751,7.58E-04,2.33E-03,1.10E-03,8.97E-05,2.36E-06
Oct-90,2,0.0240706,0.0044495,0.017476,0.000363686,0.00287048,1.54E-03,4.03E-03,3.18E-03,0.000198389,5.70E-06
Oct-90,3,0.0166617,0.003497,0.015561,0.000407456,0.00299281,2.09E-03,4.92E-03,5.00E-03,0.000287261,8.74E-06
Oct-90,4,0.0124511,0.00288625,0.0136441,0.000431007,0.00300312,2.50E-03,5.39E-03,6.44E-03,0.000359073,1.14E-05
100-0,0,0.1,0,0,0,0,0,0,0,0,0
100-0,1,0.0431763,0,0.0206813,0,0,0,0.0030339,0.00158983,0,0
100-0,2,0.0260705,0,0.0203173,0,0,0,0.00514702,0.00446348,0,0
100-0,3,0.0181103,0,0.0178392,0,0,0,0.00619386,0.00690742,0,0
100-0,4,0.013598,0,0.015499,0,0,0,0.00673388,0.00880059,0,0
