Param name,Param value,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22
k1,5.488322895033403,6.879500977766157,7.044092856484377,0.03864526400828747,0.980918962143382,0.06092981794282401,0.0329556836410385,0.5937995785379768,-0.027001537024172975,-0.9933709203362369,-1.2242492993930758,-0.425508449911829,-0.10121788556066141,-2.722569014927368,-0.39082214546578586,0.12340353618500335,0.8811133603840127,-0.19881283341594957,0.0997076083976958,0.2613432572574502,-0.03786300098611618,-0.010576350369617736,-0.08423306315550468
k2,5.816441058553269,7.044092856484377,7.244764265177116,0.0399759843027311,1.0284712948804287,0.061716441792379687,0.03201608997458305,0.7006869623800411,-0.015196780878948001,-1.0528058505558864,-1.2952666847681704,-0.5297167624501782,-0.12735777471591192,-2.766925746697874,-0.3840680850544972,0.111038108516308,0.9688822632542419,-0.2482163243951522,0.10396802096900093,0.2522140533495342,-0.04017296843130724,-0.011446829663575936,-0.09162243600426352
k3,0.5500781460493593,0.03864526400828747,0.0399759843027311,0.04239484282143209,0.6431139629901699,0.004598108921299342,-0.0024174042554213153,0.06732915891706709,0.04513199219569676,-0.009648295532728784,-0.012803667358142918,-0.027130403271720484,-0.005923203475808682,-0.010799580745594534,6.7720962711048225e-06,-0.010757615512066753,0.007764146586809463,-0.014942953469214607,0.024073345103713166,0.06702066666616333,-0.007039848620729254,5.6746570084129035e-05,0.003907716346008361
k4,10.0,0.980918962143382,1.0284712948804287,0.6431139629901699,10.385112772002568,0.08683740703260813,-0.05201242095110063,1.4373139011337932,0.9622869820694051,-0.2033686328418164,-0.261740527584852,-0.6147123364313114,-0.12284176019508128,-0.20154235407065726,-0.0014013687170977079,-0.21917189238369428,0.19546856684659228,-0.3269509550076235,0.46689273738755865,1.2066012745333834,-0.15223933264880424,-0.013485922500062832,-0.06404172298224281
k5,1.1952827186810264,0.06092981794282401,0.061716441792379687,0.004598108921299342,0.08683740703260813,0.024611585499011594,0.02532202377918443,0.10463220627003955,0.003338127641329909,0.03215543815168087,0.036173226236180946,-0.008373510859053062,-0.0041015233026991844,-0.015715376638058606,0.0003091063516655187,0.0008567644362560531,0.11136574796761736,-0.058925438890146134,0.009874599237504531,0.1433513319642961,0.01260712755892238,-0.0007060291366866301,-0.006835046773302635
k6,0.7471248489400659,0.0329556836410385,0.03201608997458305,-0.0024174042554213153,-0.05201242095110063,0.02532202377918443,0.04391943578946333,-0.021947683992700306,-0.012260218219467087,0.04314217692394759,0.04934389947436342,-0.004721951158558366,-0.005560429625233166,-0.007361102088512466,0.003747713845462829,0.030851489987860685,0.0445527367811058,0.0026846734421876947,-0.006120771659163534,0.07465576115383535,0.01913033059505373,-0.00031988723810348315,-0.0028746990146654365
k7,6.873819154030262,0.5937995785379768,0.7006869623800411,0.06732915891706709,1.4373139011337932,0.10463220627003955,-0.021947683992700306,9.226304408445323,8.43549713032261,0.44996754836823283,0.4416276994915789,-0.02155705160218499,-0.21005685036544752,-0.09528369051750019,0.20114359377432933,-0.7816790873875357,0.13337826167519734,-0.10793584707258494,0.17894963181575443,0.16416398835101684,-0.15963601363134722,-0.003442399306292903,-0.02074699559796063
k8,0.0,-0.027001537024172975,-0.015196780878948001,0.04513199219569676,0.9622869820694051,0.003338127641329909,-0.012260218219467087,8.43549713032261,10.081250760823226,0.4047891115975566,0.371040326028343,0.2829368396564796,-0.19024273286301496,-0.04302985309941977,0.23103955673973012,-0.652015096198563,-2.1597123383850274,0.7500302972161483,0.14612776764012592,-0.5592716900094121,-0.2361588046351642,0.002155219513471901,0.0256070638051553
k9,4.337248675724495,-0.9933709203362369,-1.0528058505558864,-0.009648295532728784,-0.2033686328418164,0.03215543815168087,0.04314217692394759,0.44996754836823283,0.4047891115975566,4.152259458787473,5.366649502736534,2.2533849932994796,0.7395447016471806,-1.471764235095451,-0.6667030142836434,0.19085301740064398,0.4182465537076071,0.18807382717692994,-0.0023905422797210456,0.03830641767009732,0.012230779776709264,0.0017856744387444745,0.006093031506485298
k10,5.241341934914125,-1.2242492993930758,-1.2952666847681704,-0.012803667358142918,-0.261740527584852,0.036173226236180946,0.04934389947436342,0.4416276994915789,0.371040326028343,5.366649502736534,7.060099565080324,2.342828106680674,1.0795524773280518,-1.6265521943717898,-1.0169565137810392,0.2564706894210911,0.5597237976847252,0.24633947410534443,-0.0044081130896156985,0.004292704614278813,0.011098164481960077,0.002397325163030083,0.009655287425347098
k11,6.432191148459374,-0.425508449911829,-0.5297167624501782,-0.027130403271720484,-0.6147123364313114,-0.008373510859053062,-0.004721951158558366,-0.02155705160218499,0.2829368396564796,2.2533849932994796,2.342828106680674,14.259381753765371,1.2983730324672653,-9.6009784686437,-0.9582720670822471,-0.1389856778329886,-0.567457849261226,-0.019573352022499733,-0.04083290663814659,0.07271125120812202,0.025222696770511588,0.00539063743717921,0.042718828076773865
k12,0.7600364742483671,-0.10121788556066141,-0.12735777471591192,-0.005923203475808682,-0.12284176019508128,-0.0041015233026991844,-0.005560429625233166,-0.21005685036544752,-0.19024273286301496,0.7395447016471806,1.0795524773280518,1.2983730324672653,0.4833307963191515,-0.9961185502299981,-0.47446635998465453,0.01424543833119096,-0.02232795190439109,0.039677404798924634,-0.010983880717664108,-0.035533534032878594,0.0012852034996750474,0.001165682240391575,0.011221385706074815
k13,6.684137747320306,-2.722569014927368,-2.766925746697874,-0.010799580745594534,-0.20154235407065726,-0.015715376638058606,-0.007361102088512466,-0.09528369051750019,-0.04302985309941977,-1.471764235095451,-1.6265521943717898,-9.6009784686437,-0.9961185502299981,8.747873979511478,1.1379075934400062,0.07815300368160813,0.07533999659469644,0.11836808422649434,-0.027499707862294095,-0.14928695542113263,0.007318460305385912,0.00038273660454064975,0.002305076447189163
k14,1.1199507952537409,-0.39082214546578586,-0.3840680850544972,6.7720962711048225e-06,-0.0014013687170977079,0.0003091063516655187,0.003747713845462829,0.20114359377432933,0.23103955673973012,-0.6667030142836434,-1.0169565137810392,-0.9582720670822471,-0.47446635998465453,1.1379075934400062,0.5351976213949349,-0.018451152055970747,-0.0363220976107685,-0.02681618818622593,0.001392225309185477,0.019805629665993446,0.0027912329516582195,-0.0003145785789809587,-0.004967581574840543
k15,0.0,0.12340353618500335,0.111038108516308,-0.010757615512066753,-0.21917189238369428,0.0008567644362560531,0.030851489987860685,-0.7816790873875357,-0.652015096198563,0.19085301740064398,0.2564706894210911,-0.1389856778329886,0.01424543833119096,0.07815300368160813,-0.018451152055970747,0.27657680128310896,0.3041808602711796,0.04229574020256033,-0.025512998660377383,-0.1826686155552736,-0.0021176567669228246,0.0020789655378907045,0.019722751726346507
k16,7.315767252860654,0.8811133603840127,0.9688822632542419,0.007764146586809463,0.19546856684659228,0.11136574796761736,0.0445527367811058,0.13337826167519734,-2.1597123383850274,0.4182465537076071,0.5597237976847252,-0.567457849261226,-0.02232795190439109,0.07533999659469644,-0.0363220976107685,0.3041808602711796,2.8922016843625755,-0.7883986743597313,0.002698745279877554,0.4111917662550385,0.0588845397738212,-0.002531305935307837,-0.015472129465634574
k17,3.342526181079389,-0.19881283341594957,-0.2482163243951522,-0.014942953469214607,-0.3269509550076235,-0.058925438890146134,0.0026846734421876947,-0.10793584707258494,0.7500302972161483,0.18807382717692994,0.24633947410534443,-0.019573352022499733,0.039677404798924634,0.11836808422649434,-0.02681618818622593,0.04229574020256033,-0.7883986743597313,23.42971107300931,0.4540083855364147,-2.0157062422573944,-0.26302673469730986,-0.017827959294080237,-0.2211397012996928
k18,1.031167124150917,0.0997076083976958,0.10396802096900093,0.024073345103713166,0.46689273738755865,0.009874599237504531,-0.006120771659163534,0.17894963181575443,0.14612776764012592,-0.0023905422797210456,-0.0044081130896156985,-0.04083290663814659,-0.010983880717664108,-0.027499707862294095,0.001392225309185477,-0.025512998660377383,0.002698745279877554,0.4540083855364147,0.06236763823340477,0.11206710540779648,-0.023926700102738056,-0.0016815932228665298,-0.021471011602296586
k19,7.042180631408919,0.2613432572574502,0.2522140533495342,0.06702066666616333,1.2066012745333834,0.1433513319642961,0.07465576115383535,0.16416398835101684,-0.5592716900094121,0.03830641767009732,0.004292704614278813,0.07271125120812202,-0.035533534032878594,-0.14928695542113263,0.019805629665993446,-0.1826686155552736,0.4111917662550385,-2.0157062422573944,0.11206710540779648,2.429588826539025,0.23372565270846393,-0.007439237384090783,-0.07374591301148911
k20,0.0,-0.03786300098611618,-0.04017296843130724,-0.007039848620729254,-0.15223933264880424,0.01260712755892238,0.01913033059505373,-0.15963601363134722,-0.2361588046351642,0.012230779776709264,0.011098164481960077,0.025222696770511588,0.0012852034996750474,0.007318460305385912,0.0027912329516582195,-0.0021176567669228246,0.0588845397738212,-0.26302673469730986,-0.023926700102738056,0.23372565270846393,0.05285335600545808,-0.0002895952685939697,-0.0004919008697558585
k21,0.10550108120877073,-0.010576350369617736,-0.011446829663575936,5.6746570084129035e-05,-0.013485922500062832,-0.0007060291366866301,-0.00031988723810348315,-0.003442399306292903,0.002155219513471901,0.0017856744387444745,0.002397325163030083,0.00539063743717921,0.001165682240391575,0.00038273660454064975,-0.0003145785789809587,0.0020789655378907045,-0.002531305935307837,-0.017827959294080237,-0.0016815932228665298,-0.007439237384090783,-0.0002895952685939697,0.0013687966184611675,0.013022793947728466
k22,0.7888186836085325,-0.08423306315550468,-0.09162243600426352,0.003907716346008361,-0.06404172298224281,-0.006835046773302635,-0.0028746990146654365,-0.02074699559796063,0.0256070638051553,0.006093031506485298,0.009655287425347098,0.042718828076773865,0.011221385706074815,0.002305076447189163,-0.004967581574840543,0.019722751726346507,-0.015472129465634574,-0.2211397012996928,-0.021471011602296586,-0.07374591301148911,-0.0004919008697558585,0.013022793947728466,0.13410916301811238
