Parameter,Expected value,Std. Dev.
k1,5.488322895033403,2.622880282774293
k2,5.816441058553269,2.691609976422497
k3,0.5500781460493593,0.20590007970234517
k4,10.0,3.222594105996374
k5,1.1952827186810264,0.1568808002880263
k6,0.7471248489400659,0.209569644246163
k7,6.873819154030262,3.037483235911817
k8,0.0,3.1750985434822687
k9,4.337248675724495,2.037709365632762
k10,5.241341934914125,2.657084786957376
k11,6.432191148459374,3.776159656816085
k12,0.7600364742483671,0.6952199625436194
k13,6.684137747320306,2.9576805066659038
k14,1.1199507952537409,0.731572020647957
k15,0.0,0.5259056961881179
k16,7.315767252860654,1.7006474309399275
k17,3.342526181079389,4.840424678993498
k18,1.031167124150917,0.24973513616110324
k19,7.042180631408919,1.558713837283491
k20,0.0,0.22989857764992389
k21,0.10550108120877073,0.03699725149874201
k22,0.7888186836085325,0.36620917931984226
